ARO Accession	Name	Model ID	Model Type	Pathogen	NCBI Plasmid	NCBI WGS	NCBI Chromosome	NCBI Genomic Island	Criteria	ARO Categories
ARO:3002999	CblA-1	2	protein homolog model	Phocaeicola dorei	0	1.04	0	0	perfect	antibiotic inactivation; cephalosporin
ARO:3002999	CblA-1	2	protein homolog model	Phocaeicola dorei	0	1.04	0	0	perfect_strict	antibiotic inactivation; cephalosporin
ARO:3003390	Escherichia coli ompF with mutation conferring resistance to beta-lactam antibiotics	3	protein variant model	Escherichia coli	0	0.01	0	0	perfect_strict	carbapenem; cephalosporin; cephamycin; monobactam; penam; penem; reduced permeability to antibiotic
ARO:3001109	SHV-52	4	protein homolog model	Klebsiella pneumoniae	0	0.09	0	0	perfect	antibiotic inactivation; carbapenem; cephalosporin; penam
ARO:3001109	SHV-52	4	protein homolog model	Klebsiella pneumoniae	0	0.09	0	0	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; penam
ARO:3002867	dfrF	5	protein homolog model	Streptococcus lutetiensis	0	6.12	0	0	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Anaerostipes hadrus	0	3.45	0	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Enterococcus faecalis	0	2.42	3.64	4.17	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus pasteurianus	0	35	25	16.67	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Bifidobacterium breve	0	1.81	0	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus gallolyticus	0	2.27	0	0	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus pasteurianus	0	20	0	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Bifidobacterium breve	0	1.81	0	0	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Erysipelatoclostridium ramosum	0	6.98	0	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus anginosus	0	4.68	11.76	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus anginosus	0	4.68	11.76	0	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Erysipelatoclostridium ramosum	0	20.93	0	0	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus suis	0	0.79	0	0	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus suis	0	0.1	0	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Bifidobacterium longum	0	2.97	0	0	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Anaerostipes hadrus	0	8.62	0	0	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Enterocloster clostridioformis	0	4.65	0	0	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus dysgalactiae	0	0	2	0	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Enterocloster clostridioformis	0	2.33	0	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus lutetiensis	0	6.12	0	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
